MATURITY,COUPON,BID,ASKED,CHG,ASKED YIELD
2/15/2029,2.625,105.02,105.024,-0.272,2.04
2/15/2029,5.25,128.012,128.016,-0.298,2.022
5/15/2029,2.375,102.3,102.304,-0.954,2.043
8/15/2029,6.125,137.064,137.074,-1,2.03
5/15/2030,6.25,140.184,140.194,-1.026,2.056
2/15/2031,5.375,133.254,133.264,-1.04,2.079
2/15/2036,4.5,131.122,131.132,-1.152,2.226
2/15/2037,4.75,136.124,136.134,-1.178,2.236
5/15/2037,5,140.134,140.144,-1.876,2.239
2/15/2038,4.375,131.214,131.224,-1.868,2.275
5/15/2038,4.5,133.256,133.266,-1.878,2.282
2/15/2039,3.5,118.094,118.104,-1.16,2.33
5/15/2039,4.25,130.094,130.104,-1.196,2.333
8/15/2039,4.5,134.174,134.184,-1.892,2.335
11/15/2039,4.375,132.14,132.15,-1.884,2.357
2/15/2040,4.625,136.254,136.264,-1.9,2.358
5/15/2040,4.375,132.206,132.216,-1.9,2.378
8/15/2040,3.875,124.136,124.146,-1.878,2.392
11/15/2040,4.25,130.232,130.242,-1.892,2.4
2/15/2041,4.75,139.132,139.142,-1.924,2.4
5/15/2041,4.375,133.012,133.022,-1.234,2.418
8/15/2041,3.75,122.106,122.116,-1.206,2.435
11/15/2041,3.125,111.16,111.17,-1.856,2.452
2/15/2042,3.125,111.136,111.146,-1.178,2.461
5/15/2042,3,109.044,109.054,-1.168,2.472
8/15/2042,2.75,104.184,104.194,-1.84,2.487
11/15/2042,2.75,104.146,104.156,-1.156,2.495
2/15/2043,3.125,111.046,111.056,-1.18,2.495
5/15/2043,2.875,106.194,106.204,-1.846,2.504
8/15/2043,3.625,120.1,120.11,-1.214,2.497
11/15/2043,3.75,122.226,122.236,-1.904,2.498
2/15/2044,3.625,120.14,120.15,-1.904,2.505
5/15/2044,3.375,115.266,115.276,-1.886,2.513
8/15/2044,3.125,111.06,111.07,-1.194,2.519
11/15/2044,3,108.28,108.29,-1.876,2.522
2/15/2045,2.5,99.092,99.102,-1.172,2.536
5/15/2045,3,108.316,109.006,-1.88,2.523
8/15/2045,2.875,106.164,106.174,-1.878,2.531
11/15/2045,3,109.016,109.026,-1.208,2.526
2/15/2046,2.5,99.042,99.052,-1.17,2.543
5/15/2046,2.5,99.022,99.032,-1.174,2.546
8/15/2046,2.25,94.034,94.044,-1.17,2.551
11/15/2046,2.875,106.2,106.21,-1.89,2.536
2/15/2047,3,109.084,109.094,-1.22,2.53
5/15/2047,3,109.044,109.054,-1.222,2.539
8/15/2047,2.75,104,104.01,-1.194,2.548
11/15/2047,2.75,104.002,104.012,-1.2,2.549
2/15/2048,3,109.046,109.056,-1.224,2.546
5/15/2048,3.125,111.26,111.27,-1.912,2.543
8/15/2048,3,109.092,109.102,-1.222,2.545
11/15/2048,3.375,117.084,117.094,-1.936,2.536
2/15/2049,3,109.124,109.134,-1.916,2.545
5/15/2049,2.875,106.276,106.286,-1.91,2.544
